Data/Hora,Obs Fiscal,Status,Logradouro,Número,Bairro,Cidade,UF,CEP,Data Agenda,Data Execução,Nome,Concessionária,Tipo da Demanda,Prazo,Zona
2022-04-01 08:54:00,"(43584) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. Quase esquina com Rua João Cordeiro",Finalizada,Jaguaretama,56,Aldeota,Fortaleza,,60140050.0,,04/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-04-01 08:57:00,"(43586) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. Atrás do mercado do Joaquim Távora",Finalizada,Professor Mário Rocha,12,Joaquim Távora,Fortaleza,,60120200.0,,06/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-04-01 09:00:00,(43622) REMOÇÃO DE RESTO DE MATERIAL DE CONSTRUÇÃO NA Rua comendador Garcia 1835 Parque São Jose Cep 60730440,Finalizada,Comendador Garcia,1835,Parque São José,Fortaleza,,60730235.0,,08/01/2022 00:00,Rochele Felix de Freitas (SER X),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 10
2022-04-01 09:00:00,(43616) REMOÇÃO DE RESTO DE MATERIAL DE CONSTRUÇÃO NA Rua Fernando Farias de Melo 990 Vila Manoel Satiro Cep 60713480,Finalizada,Fernando Farias de Melo,990,Manuel Sátiro,Fortaleza,,60713480.0,,07/01/2022 00:00,Rochele Felix de Freitas (SER X),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 10
2022-04-01 09:00:00,"(43587) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou restos de poda de árvore no canteiro central da avenida, solicitamos a remoção. OBS: CANTEIRO CENTRAL DA AVENIDA PONTES VIEIRA, EM FRENTE AO NÚMERO 220",Finalizada,Pontes Vieira,220,São João do Tauape,Fortaleza,,60130240.0,,05/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Poda,Excedido o Prazo,SER 2
2022-04-01 09:05:00,"(43589) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. OBS: PRÓXIMO AO GINÁSIO PAULO SARASATE.",Finalizada,Ildefonso Albano,1902,Aldeota,Fortaleza,,60115125.0,,05/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-04-01 09:17:00,(43590) REMOÇÃO DE ENTULHO NA RUA Rua amarílis Dutra 311 maraponga CEP:60711040,Finalizada,Amarília Dutra,311,Maraponga,Fortaleza,,60711040.0,,10/01/2022 00:00,Carlos Alberto de Sousa Almeida (SER V),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 10
2022-04-01 09:37:00,"(43594) Protocolo: 2021121300526 USUARIA SOLICITA A RETIRADA DE RESTOS DE PODA. RELATA QUE FOI DESCARTADO NA VIA PELA ENEL, GALHOS DE ARVORE, CAUSANDO TRANSTORNO A QUEM PASSA",Finalizada,Raimunda Galdino,1021,Sapiranga,Fortaleza,,60833612.0,,10/01/2022 00:00,Raul Tasso Viana Rocha (SER II),Ecofor,Coleta Mecanizada (Grandes volumes),Excedido o Prazo,SER 7
2022-04-01 09:37:00,"(43592) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. OBS: ESQUINA COM A RUA ANTONIO AUGUSTO",Finalizada,Heraclito Graça,1035,Aldeota,Fortaleza,,60140035.0,,06/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Entulho (de forma manual),Excedido o Prazo,SER 2
2022-04-01 09:39:00,"(43595) Protocolo: 2021121400769 USUARIA SOLICITA RETIRADA DE ENTULHO EM VIA PUBLICA. RELATA QUE HA UMA GRANDE QUANTIDADE DE RESTO DE MATEIRAS DE CONSTRUCAO, ALEM DE RESTOS DE MOVEIS E PODAS DE ARVORES NO LOCAL. PEDE PROVIDENCIAS.",Pendente,Oswaldo Araújo,0,Praia do Futuro I,Fortaleza,,60182395.0,,06/01/2022 00:00,Raul Tasso Viana Rocha (SER II),CEPREL/SEGER,Coleta Mecanizada (Grandes volumes),Excedido o Prazo,SER 7
2022-04-01 09:39:00,"(43593) A equipe de Infraestrutura e Conservação e esteve no local indicado e identificou o acúmulo de lixo volumoso, solicitamos a remoção e estudo posterior para eliminação desse ponto via ECOFOR. Ponto de Lixo recorrente. OBS: TRECHO ESQUINA COM A RUA PROFESSOR CARVALHO",Finalizada,Monsenhor Salazar,565,São João do Tauape,Fortaleza,,60130370.0,,06/01/2022 00:00,Anna Karolyne Xavier Siqueira de Oliveira (SER II),Ecofor,Coleta de Volumoso,Excedido o Prazo,SER 2
